campaign_id,campaign_name,channel,objective,start_date,end_date,budget,total_spend,impressions,clicks,total_leads,avg_lead_score,total_conversions,purchases,trials,total_revenue,budget_utilization,ctr,purchase_rate,roas,cost_per_purchase,revenue_per_lead
CMP0118,Display 2023 118,display,lead_gen,2023-10-16,2024-03-08,72976.15,56065.52,8625397,51659,2860,50.23,423,188,235,230488.96,76.83,0.6,6.57,4.11,298.22,80.59
CMP0068,Display 2025 068,display,lead_gen,2025-03-06,2025-07-05,68674.8,57515.62,8848499,52503,2854,50.98,396,168,228,229511.53,83.75,0.59,5.89,3.99,342.35,80.42
CMP0071,Paid Search 2023 071,paid_search,lead_gen,2023-02-11,2023-05-08,78158.38,62202.61,3455663,122752,3045,50.49,436,187,249,227161.15,79.59,3.55,6.14,3.65,332.63,74.6
CMP0051,Paid Search 2024 051,paid_search,awareness,2024-11-03,2025-01-24,51270.89,36822.31,2045648,71113,2799,49.85,430,177,253,226283.44,71.82,3.48,6.32,6.15,208.04,80.84
CMP0037,Paid Social 2025 037,paid_social,lead_gen,2025-08-28,2025-12-02,47793.96,40531.48,3684637,65341,2946,50.0,441,173,268,225273.98,84.8,1.77,5.87,5.56,234.29,76.47
CMP0082,Paid Social 2023 082,paid_social,awareness,2023-06-08,2023-09-06,53455.13,47464.49,4314913,78161,3027,50.92,436,182,254,222854.23,88.79,1.81,6.01,4.7,260.79,73.62
CMP0070,Affiliate 2024 070,affiliate,awareness,2024-02-18,2024-05-25,18386.12,17318.5,1924236,49209,2587,50.11,381,167,214,218374.17,94.19,2.56,6.46,12.61,103.7,84.41
CMP0052,Paid Social 2023 052,paid_social,awareness,2023-03-13,2023-05-31,53436.27,48307.28,4391528,79763,2751,50.03,404,168,236,216454.46,90.4,1.82,6.11,4.48,287.54,78.68
CMP0036,Paid Search 2024 036,paid_search,lead_gen,2024-08-01,2024-10-22,53747.66,41412.64,2300663,81904,2879,50.4,444,188,256,216453.46,77.05,3.56,6.53,5.23,220.28,75.18
CMP0108,Display 2023 108,display,awareness,2023-08-21,2023-12-25,56160.77,48553.9,7469773,45480,2461,50.2,344,162,182,215141.67,86.46,0.61,6.58,4.43,299.72,87.42
CMP0031,Paid Search 2024 031,paid_search,acquisition,2024-07-22,2024-11-13,36274.33,28183.59,1565701,55470,2894,50.95,418,171,247,214055.64,77.7,3.54,5.91,7.6,164.82,73.97
CMP0025,Affiliate 2024 025,affiliate,awareness,2024-12-02,2025-02-16,65761.8,58281.78,6475717,163545,2695,51.08,389,172,217,207748.05,88.63,2.53,6.38,3.56,338.85,77.09
CMP0095,Affiliate 2025 095,affiliate,acquisition,2025-01-22,2025-05-05,23477.18,17881.69,1986813,49335,2639,51.3,385,166,219,203419.1,76.17,2.48,6.29,11.38,107.72,77.08
CMP0002,Paid Social 2023 002,paid_social,awareness,2023-09-27,2023-11-18,49422.28,47041.22,4276448,73217,1849,50.14,300,140,160,191521.25,95.18,1.71,7.57,4.07,336.01,103.58
CMP0035,Affiliate 2025 035,affiliate,awareness,2025-03-02,2025-05-22,22324.72,15913.35,1768110,43987,2218,51.39,341,142,199,191083.78,71.28,2.49,6.4,12.01,112.07,86.15
CMP0005,Affiliate 2024 005,affiliate,acquisition,2024-10-20,2024-12-29,18614.72,17057.46,1895242,48361,2239,50.88,344,143,201,189914.53,91.63,2.55,6.39,11.13,119.28,84.82
CMP0083,Display 2025 083,display,lead_gen,2025-05-12,2025-09-04,61419.31,48391.76,7444837,43964,2404,50.02,329,148,181,187352.3,78.79,0.59,6.16,3.87,326.97,77.93
CMP0063,Display 2025 063,display,lead_gen,2025-03-06,2025-05-17,58760.38,57437.04,8836434,54760,2319,49.37,346,146,200,185403.34,97.75,0.62,6.3,3.23,393.4,79.95
CMP0115,Affiliate 2025 115,affiliate,lead_gen,2025-07-10,2025-09-02,53698.12,52989.89,5887740,143437,1925,51.57,313,140,173,183931.07,98.68,2.44,7.27,3.47,378.5,95.55
CMP0047,Paid Social 2023 047,paid_social,acquisition,2023-02-20,2023-04-29,55545.45,50118.56,4556197,83181,2410,51.04,378,149,229,183275.6,90.23,1.83,6.18,3.66,336.37,76.05
CMP0040,Affiliate 2023 040,affiliate,awareness,2023-09-01,2023-11-09,15821.08,14920.9,1657845,41619,2064,50.41,321,146,175,183150.82,94.31,2.51,7.07,12.27,102.2,88.74
CMP0024,Video 2024 024,video,acquisition,2024-03-23,2024-08-12,77960.53,66524.17,4434898,39676,2111,51.09,319,146,173,179567.16,85.33,0.89,6.92,2.7,455.64,85.06
CMP0032,Paid Social 2024 032,paid_social,acquisition,2024-02-25,2024-05-01,61445.05,43909.18,3991715,69557,2300,50.51,323,142,181,177976.13,71.46,1.74,6.17,4.05,309.22,77.38
CMP0041,Paid Search 2024 041,paid_search,acquisition,2024-03-14,2024-05-08,74625.44,66691.1,3705038,125449,1960,49.98,307,134,173,176741.68,89.37,3.39,6.84,2.65,497.69,90.17
CMP0076,Paid Search 2024 076,paid_search,lead_gen,2024-04-09,2024-06-13,47970.37,40845.75,2269176,79088,2290,50.28,331,139,192,175902.92,85.15,3.49,6.07,4.31,293.85,76.81
CMP0120,Affiliate 2023 120,affiliate,acquisition,2023-08-14,2023-10-09,20205.92,18220.92,2024524,50892,1928,50.92,302,133,169,171570.71,90.18,2.51,6.9,9.42,137.0,88.99
CMP0088,Display 2025 088,display,lead_gen,2025-06-13,2025-10-07,54373.06,41644.02,6406714,38203,2023,50.62,306,123,183,170722.89,76.59,0.6,6.08,4.1,338.57,84.39
CMP0100,Affiliate 2023 100,affiliate,lead_gen,2023-11-05,2024-01-05,61774.4,43167.8,4796396,125371,2170,50.8,323,128,195,170090.72,69.88,2.61,5.9,3.94,337.25,78.38
CMP0030,Affiliate 2024 030,affiliate,acquisition,2024-08-26,2024-10-27,56128.75,51492.57,5721370,145350,2205,49.71,366,142,224,168745.08,91.74,2.54,6.44,3.28,362.62,76.53
CMP0096,Paid Search 2025 096,paid_search,awareness,2025-04-13,2025-06-05,27118.28,23764.0,1320200,47049,1846,50.76,296,126,170,167071.09,87.63,3.56,6.83,7.03,188.6,90.5
CMP0043,Display 2025 043,display,awareness,2025-06-24,2025-10-30,57653.83,42997.2,6614896,39394,2110,49.75,313,129,184,164223.35,74.58,0.6,6.11,3.82,333.31,77.83
CMP0112,Paid Social 2024 112,paid_social,acquisition,2024-09-21,2024-11-06,57155.15,48945.75,4449593,81006,1645,50.26,259,119,140,162840.68,85.64,1.82,7.23,3.33,411.31,98.99
CMP0075,Affiliate 2023 075,affiliate,lead_gen,2023-03-07,2023-05-16,27312.34,23249.91,2583289,64594,2401,51.15,353,140,213,160754.44,85.13,2.5,5.83,6.91,166.07,66.95
CMP0066,Paid Search 2023 066,paid_search,lead_gen,2023-01-25,2023-03-29,26228.76,19802.18,1100095,38647,1884,51.8,304,120,184,158871.86,75.5,3.51,6.37,8.02,165.02,84.33
CMP0085,Affiliate 2024 085,affiliate,awareness,2024-07-22,2024-09-11,63165.68,51639.87,5737739,141324,1820,50.48,280,111,169,157336.9,81.75,2.46,6.1,3.05,465.22,86.45
CMP0101,Paid Search 2023 101,paid_search,awareness,2023-11-19,2024-01-07,74445.68,52545.91,2919195,100547,1750,51.44,279,118,161,155541.15,70.58,3.44,6.74,2.96,445.3,88.88
CMP0011,Paid Search 2024 011,paid_search,lead_gen,2024-04-25,2024-06-14,53840.09,40961.29,2275604,80009,1785,50.0,281,124,157,154659.51,76.08,3.52,6.95,3.78,330.33,86.64
CMP0072,Paid Social 2024 072,paid_social,awareness,2024-10-24,2024-12-18,49808.42,37097.85,3372508,59297,1935,50.81,299,117,182,153874.58,74.48,1.76,6.05,4.15,317.08,79.52
CMP0038,Display 2023 038,display,lead_gen,2023-04-28,2023-07-15,39747.04,36151.63,5561759,33458,1797,50.69,270,115,155,153430.06,90.95,0.6,6.4,4.24,314.36,85.38
CMP0022,Paid Social 2024 022,paid_social,acquisition,2024-11-26,2025-01-12,38866.07,28807.41,2618833,46535,1649,50.15,265,117,148,150535.58,74.12,1.78,7.1,5.23,246.22,91.29
CMP0033,Display 2023 033,display,lead_gen,2023-01-04,2023-03-14,56822.4,45239.74,6959923,41058,2035,50.71,293,119,174,147335.34,79.62,0.59,5.85,3.26,380.17,72.4
CMP0094,Video 2023 094,video,lead_gen,2023-06-02,2023-10-06,66477.07,49539.43,3302583,29814,1606,50.98,256,117,139,146756.0,74.52,0.9,7.29,2.96,423.41,91.38
CMP0067,Paid Social 2024 067,paid_social,acquisition,2024-12-18,2025-02-06,76431.14,59042.06,5367438,98121,1785,50.42,269,112,157,146717.83,77.25,1.83,6.27,2.48,527.16,82.19
CMP0114,Video 2024 114,video,awareness,2024-04-19,2024-08-07,59545.21,54531.03,3635362,32255,1723,50.12,264,104,160,143825.54,91.58,0.89,6.04,2.64,524.34,83.47
CMP0003,Display 2024 003,display,lead_gen,2024-09-27,2024-12-26,40769.77,30895.96,4753179,28419,1536,50.0,240,102,138,141758.89,75.78,0.6,6.64,4.59,302.9,92.29
CMP0042,Paid Social 2023 042,paid_social,lead_gen,2023-08-10,2023-10-23,27889.72,21665.55,1969563,35453,1785,51.02,251,110,141,140973.92,77.68,1.8,6.16,6.51,196.96,78.98
CMP0079,Video 2024 079,video,lead_gen,2024-04-09,2024-07-07,75572.78,62230.93,4148695,36484,1932,50.49,292,110,182,137737.16,82.35,0.88,5.69,2.21,565.74,71.29
CMP0016,Paid Search 2024 016,paid_search,lead_gen,2024-08-02,2024-12-18,18289.41,15462.39,858967,30641,1560,51.39,243,106,137,137600.04,84.54,3.57,6.79,8.9,145.87,88.21
CMP0109,Video 2024 109,video,awareness,2024-01-13,2024-06-01,69532.05,50775.13,3384966,30290,1599,50.08,240,110,130,135789.95,73.02,0.89,6.88,2.67,461.59,84.92
CMP0104,Video 2023 104,video,awareness,2023-10-09,2023-12-29,58750.28,53604.75,3573622,31808,1703,50.9,249,101,148,133477.72,91.24,0.89,5.93,2.49,530.74,78.38
CMP0007,Paid Social 2024 007,paid_social,acquisition,2024-08-24,2024-10-11,37197.92,34977.43,3179742,57551,1699,51.05,237,107,130,131491.52,94.03,1.81,6.3,3.76,326.89,77.39
CMP0064,Video 2024 064,video,lead_gen,2024-09-21,2024-11-22,74222.9,55178.97,3678578,32140,1687,52.0,247,94,153,128190.29,74.34,0.87,5.57,2.32,587.01,75.99
CMP0086,Paid Search 2023 086,paid_search,awareness,2023-03-02,2023-06-23,13698.33,11691.91,649503,23060,1277,50.91,211,101,110,126855.4,85.35,3.55,7.91,10.85,115.76,99.34
CMP0053,Display 2023 053,display,acquisition,2023-10-25,2023-12-17,40111.22,35394.75,5445323,33034,1576,50.37,232,99,133,125386.68,88.24,0.61,6.28,3.54,357.52,79.56
CMP0098,Display 2024 098,display,lead_gen,2024-12-16,2025-02-02,49776.78,43337.61,6667302,39332,1619,49.98,227,93,134,124429.85,87.06,0.59,5.74,2.87,466.0,76.86
CMP0089,Video 2023 089,video,acquisition,2023-12-27,2024-02-26,48147.87,43045.82,2869701,25011,1374,52.67,221,98,123,123929.88,89.4,0.87,7.13,2.88,439.24,90.2
CMP0017,Paid Social 2024 017,paid_social,lead_gen,2024-03-06,2024-04-28,21125.06,17839.66,1621763,28449,1415,50.79,221,95,126,123567.41,84.45,1.75,6.71,6.93,187.79,87.33
CMP0065,Affiliate 2024 065,affiliate,awareness,2024-03-23,2024-05-07,24191.51,18328.31,2036457,50924,1594,49.3,233,96,137,121541.17,75.76,2.5,6.02,6.63,190.92,76.25
CMP0009,Video 2024 009,video,lead_gen,2024-08-05,2025-01-01,63858.28,54786.64,3652395,32479,1720,51.8,260,102,158,120655.46,85.79,0.89,5.93,2.2,537.12,70.15
CMP0045,Affiliate 2024 045,affiliate,awareness,2024-03-26,2024-05-18,11542.55,10543.72,1171498,28539,1430,51.22,214,88,126,120094.29,91.35,2.44,6.15,11.39,119.81,83.98
CMP0058,Display 2023 058,display,lead_gen,2023-06-06,2023-09-20,29871.43,25905.51,3985413,24136,1246,50.98,203,88,115,118383.74,86.72,0.61,7.06,4.57,294.38,95.01
CMP0012,Paid Social 2024 012,paid_social,acquisition,2024-08-09,2024-09-23,35704.57,25887.38,2353377,41116,1552,49.58,225,88,137,117346.11,72.5,1.75,5.67,4.53,294.17,75.61
CMP0087,Paid Social 2023 087,paid_social,awareness,2023-06-09,2023-07-27,20215.14,16943.37,1540288,26423,1328,50.61,211,84,127,114353.68,83.82,1.72,6.33,6.75,201.71,86.11
CMP0046,Paid Search 2023 046,paid_search,acquisition,2023-10-10,2024-01-18,14833.84,11529.48,640483,22049,1184,50.98,190,80,110,107179.82,77.72,3.44,6.76,9.3,144.12,90.52
CMP0001,Paid Search 2023 001,paid_search,awareness,2023-06-17,2023-08-17,14867.16,13679.39,759938,26014,1374,49.72,213,80,133,105014.02,92.01,3.42,5.82,7.68,170.99,76.43
CMP0103,Display 2024 103,display,lead_gen,2024-05-15,2024-07-26,33787.21,28256.07,4347053,26071,1392,50.68,220,88,132,104150.85,83.63,0.6,6.32,3.69,321.09,74.82
CMP0029,Video 2024 029,video,awareness,2024-03-10,2024-06-17,41244.99,36046.43,2403062,21378,1142,50.04,201,82,119,102693.84,87.4,0.89,7.18,2.85,439.59,89.92
CMP0014,Video 2025 014,video,awareness,2025-01-11,2025-05-14,48616.15,43162.47,2877457,25773,1325,49.16,213,80,133,100888.56,88.78,0.9,6.04,2.34,539.53,76.14
CMP0077,Paid Social 2025 077,paid_social,lead_gen,2025-05-25,2025-09-18,18894.65,14837.21,1348784,24267,1299,50.97,194,76,118,99552.05,78.53,1.8,5.85,6.71,195.23,76.64
CMP0113,Display 2025 113,display,lead_gen,2025-06-27,2025-11-02,20114.75,19245.76,2960829,17765,902,50.73,145,67,78,93150.52,95.68,0.6,7.43,4.84,287.25,103.27
CMP0078,Display 2023 078,display,lead_gen,2023-08-23,2023-10-09,31875.08,24620.8,3787793,21845,1133,51.68,175,63,112,88381.66,77.24,0.58,5.56,3.59,390.81,78.01
CMP0013,Display 2023 013,display,lead_gen,2023-12-21,2024-03-01,25531.87,22247.21,3422613,21052,1102,51.76,165,70,95,87891.93,87.14,0.62,6.35,3.95,317.82,79.76
CMP0004,Video 2024 004,video,acquisition,2024-10-15,2025-02-16,29625.96,27494.98,1832953,16420,803,48.15,124,64,60,80962.12,92.81,0.9,7.97,2.94,429.61,100.82
CMP0023,Display 2023 023,display,acquisition,2023-12-07,2024-03-12,21131.3,19629.01,3019801,17689,932,49.6,141,65,76,75318.47,92.89,0.59,6.97,3.84,301.98,80.81
CMP0034,Video 2024 034,video,awareness,2024-03-29,2024-07-25,39122.92,34180.02,2278627,20473,1044,50.7,140,57,83,67619.25,87.37,0.9,5.46,1.98,599.65,64.77
CMP0019,Video 2023 019,video,awareness,2023-07-27,2023-09-26,27023.53,21498.81,1433234,12854,684,52.14,105,53,52,61371.59,79.56,0.9,7.75,2.85,405.64,89.72
CMP0049,Video 2023 049,video,acquisition,2023-04-19,2023-08-24,28288.51,25032.55,1668797,14904,745,50.26,110,44,66,61265.88,88.49,0.89,5.91,2.45,568.92,82.24
CMP0027,Paid Social 2023 027,paid_social,awareness,2023-01-07,2023-03-25,11757.4,10152.69,922938,16216,834,49.85,123,55,68,58963.11,86.35,1.76,6.59,5.81,184.59,70.7
CMP0074,Video 2023 074,video,awareness,2023-04-17,2023-06-05,30992.79,26109.81,1740637,16515,934,48.82,119,46,73,56859.44,84.24,0.95,4.93,2.18,567.6,60.88
CMP0069,Video 2024 069,video,awareness,2024-09-28,2025-01-19,31275.6,23146.07,1543036,13447,677,51.31,109,42,67,56263.84,74.01,0.87,6.2,2.43,551.1,83.11
CMP0059,Video 2025 059,video,acquisition,2025-03-13,2025-08-05,22521.39,19164.26,1277566,11581,568,52.61,91,38,53,52871.36,85.09,0.91,6.69,2.76,504.32,93.08
CMP0039,Video 2025 039,video,acquisition,2025-01-16,2025-06-12,30625.16,24066.86,1604409,14425,733,46.98,114,39,75,51293.31,78.59,0.9,5.32,2.13,617.1,69.98
CMP0054,Video 2024 054,video,awareness,2024-07-15,2024-09-10,16931.72,14158.05,943849,8525,459,49.59,86,37,49,49365.0,83.62,0.9,8.06,3.49,382.65,107.55
CMP0119,Video 2025 119,video,acquisition,2025-07-02,2025-09-04,18913.0,16825.46,1121676,10066,499,49.98,71,30,41,36568.85,88.96,0.9,6.01,2.17,560.85,73.28
CMP0028,Display 2023 028,display,lead_gen,2023-05-09,2023-09-11,8612.99,6701.48,1030942,6115,272,50.74,44,22,22,32574.62,77.81,0.59,8.09,4.86,304.61,119.76
CMP0044,Video 2025 044,video,acquisition,2025-06-13,2025-09-05,14555.92,11538.17,769186,7092,344,53.86,53,22,31,27269.7,79.27,0.92,6.4,2.36,524.46,79.27
CMP0099,Video 2023 099,video,awareness,2023-03-15,2023-06-28,12962.09,9348.4,623190,5440,242,49.22,35,15,20,21200.08,72.12,0.87,6.2,2.27,623.23,87.6
CMP0018,Display 2023 018,display,acquisition,2023-05-15,2023-07-28,9256.84,7405.03,1139204,6717,334,51.49,48,11,37,16103.51,80.0,0.59,3.29,2.17,673.18,48.21
CMP0084,Video 2023 084,video,awareness,2023-04-16,2023-08-04,8102.32,6105.33,406990,3640,145,49.43,14,7,7,11132.24,75.35,0.89,4.83,1.82,872.19,76.77
